StartDate,ResponseId,DVPref_Rating_1,Emp1_1,emp2_1,Involved_1,Mood_1,Mood_2,Mood_3,Mood_4,Gender,Age_1,Q_TerminateFlag,Scenario,Text_Base,Text_Comparison,ComparisonCondition,BaseOnLeft
12/31/25 23:30,R_5N6wpUbInB47o09,6,5,6,7,3,3,4,4,1,34,Complete,1,This coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is nutty and balanced, Fair Trade Certified™.",ShortFT,1
12/31/25 23:31,R_5m8XOMgYqE4aSCv,1,5,6,6,3,4,4,4,2,44,Complete,2,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,This fair-trade coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced under Fair Trade Certified™ standards.,BaseFT,0
12/31/25 23:31,R_7ARt26RDWmcoPoW,7,7,7,7,6,7,7,7,2,48,Complete,3,This coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee's nutty aroma and balanced taste form a smooth profile with subtle hazelnut notes and a velvety finish. The beans are sourced under Fair Trade Certified™ standards that make trade more equitable, ensuring farmers, workers, and producers are paid fairly, work in safe conditions, and can invest in their communities.",LongFT,1
12/31/25 23:31,R_5QtiF6riUEpEMvW,6,6,7,7,6,6,6,6,1,42,Complete,1,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",ShortFT,0
12/31/25 23:31,R_19o8QjXKN3aK2Sk,7,7,7,7,1,1,4,4,2,49,Complete,2,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,This fair-trade coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced under Fair Trade Certified™ standards.,BaseFT,1
12/31/25 23:31,R_3nNM8Xm63500n4t,3,7,7,7,3,4,4,4,1,37,Complete,1,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",ShortFT,0
12/31/25 23:32,R_5gqgxRi45kQ7crf,5,5,7,7,6,7,4,5,2,27,Complete,1,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",ShortFT,1
12/31/25 23:31,R_7t8R6Nfndc7Jo4A,6,6,6,7,6,6,6,6,1,33,Complete,1,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",ShortFT,1
12/31/25 23:32,R_5EqTvS8QtofxZa9,6,5,5,7,2,6,6,5,1,57,Complete,2,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,This fair-trade coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced under Fair Trade Certified™ standards.,BaseFT,1
12/31/25 23:30,R_5qrqJKCS56JknwW,7,7,7,7,4,6,6,6,2,56,Complete,3,This coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee's nutty aroma and balanced taste form a smooth profile with subtle hazelnut notes and a velvety finish. The beans are sourced under Fair Trade Certified™ standards that make trade more equitable, ensuring farmers, workers, and producers are paid fairly, work in safe conditions, and can invest in their communities.",LongFT,1
